Consumer Brand,UML Id,Name,Country,Province,District,Latitude,Longitude,Parent Company,Parent Group,RSPO
J&J,PO1000004435,Talikumain,Indonesia,Riau,Rokan Hulu,1.077988,100.261278,Sawit Raya Nusantara,Sawit Raya Nusantara,Not RSPO Certified
J&J,PO1000004436,Swadaya Mukti Prakarsa,Indonesia,Kalimantan Barat,Kayong Utara,-1.082883,110.38345,Swadaya Mukti Prakarsa,First Resources,Not RSPO Certified
J&J,PO1000004437,Prakarsa Tani Sejati,Indonesia,Kalimantan Barat,Ketapang,-1.099617,110.46815,Prakarsa Tani Sejati,Global Palm Resources,Not RSPO Certified
J&J,PO1000004438,Mazuma Agro Indonesia,Indonesia,Sumatera Utara,Padang Lawas,1.1287,100.154517,Sawit Raya Nusantara,Sawit Raya Nusantara,Not RSPO Certified
J&J,PO1000004439,Pelabuhan Dagang,Indonesia,Jambi,Tanjung Jabung B,-1.139183,103.07365,Produk Sawitindo Jambi,Matahari Kahuripan Indonesia,Not RSPO Certified
J&J,PO1000004441,Sawit Anugerah Sejahtera,Indonesia,Riau,Bengkalis,1.151667,101.276717,Sawit Anugrah Sejahtera,Mahkota,Not RSPO Certified
J&J,PO1000004442,Kencana Persada Nusantara,Indonesia,Riau,Rokan Hulu,1.175407,100.232727,Kencana Persada Nusantara,Kencana Persada Nusantara,Not RSPO Certified
J&J,PO1000004443,Dalu Dalu,Indonesia,Riau,Rokan Hulu,1.178517,100.2703,Dalu Dalu,Hutahaean,Not RSPO Certified
J&J,PO1000004444,Merangkai Artha Nusantara,Indonesia,Riau,Rokan Hulu,1.212517,100.29345,Merangkai Artha Nusantara,Trinity Interlink,Not RSPO Certified
J&J,PO1000004446,Pengadan Baay,Indonesia,Kalimantan Timur,Kutai Timur,1.247783,117.693483,Telen,Teladan Prima,Not RSPO Certified
J&J,PO1000004447,Selago Makmur Plantation,Indonesia,Sumatera Barat,Dharmasraya,-1.250283,101.575733,Selago Makmur Plantation,Incasi Raya,Not RSPO Certified
J&J,PO1000004448,Sebawi,Indonesia,Kalimantan Barat,Sambas,1.26659,109.22532,Fajar Saudara Kusuma,Kurnia Asia Berhad/Kalimantan Sawit Kusuma,Not RSPO Certified
J&J,PO1000004449,Nagamas Agro Mulya,Indonesia,Riau,Rokan Hulu,1.3011,100.3977,Nagamas Agro Mulia,Lingga Tiga Sawit,Not RSPO Certified
J&J,PO1000004451,Pangian,Indonesia,Sumatera Barat,Dharmasraya,-1.320133,101.648567,Incasi Raya,Incasi Raya,Not RSPO Certified
J&J,PO1000004452,Palma Abadi,Indonesia,Jambi,Muaro Jambi,-1.3213,103.26525,Palma Abadi,Palma Abadi,Not RSPO Certified
J&J,PO1000004453,Waru Kaltim Plantation,Indonesia,Kalimantan Timur,Penajam Paser Utara,-1.329667,116.544033,Waru Kaltim Plantation,Astra Agro Lestari,Not RSPO Certified
J&J,PO1000004454,Bukit Barisan Indah Prima,Indonesia,Jambi,Muaro Jambi,-1.339617,103.455383,Bukit Barisan Indah Prima,Bbip Palm,Not RSPO Certified
J&J,PO1000004455,Batanghari Sawit Sejahtera,Indonesia,Jambi,Muaro Jambi,-1.348467,103.543133,Batanghari Sawit Sejahtera,Sawit Mas/Flora Wahana Tirta/Bukit Barisan,Not RSPO Certified
J&J,PO1000004456,Pujud Karya Sawit,Indonesia,Riau,Rokan Hilir,1.37615,100.52885,Pujud Karya Sawit,Graha,Not RSPO Certified
J&J,PO1000004457,Bukit Bintang Sawit,Indonesia,Jambi,Muaro Jambi,-1.382117,103.494517,Bukit Bintang Sawit,Bukit Bintang Sawit,Not RSPO Certified
J&J,PO1000004458,Mulia,Indonesia,Kalimantan Barat,Ketapang,-1.382733,110.479567,Sepanjang Inti Surya Utama 2,Matahari Kahuripan Indonesia,"RSPO Certified, MB"
J&J,PO1000004458,Mulia,Indonesia,Kalimantan Barat,Ketapang,-1.382733,110.479567,Sepanjang Intisurya Mulia,Genting Plantations Nusantara,"RSPO Certified, MB"
J&J,PO1000004461,Aek Sibirong,Indonesia,Sumatera Utara,Tapanuli Selatan,1.409317,98.85825,Maju Indo Raya,Maju Indo Raya,Not RSPO Certified
J&J,PO1000004462,Portibi,Indonesia,Sumatera Utara,Padang Lawas Utara,1.428267,99.723733,Sinarlika Portibi Jaya Plantations,Sumber Tani Agung,Not RSPO Certified
J&J,PO1000004464,Jamika Raya,Indonesia,Jambi,Bungo,-1.444495,101.751319,Jamika Raya,Incasi Raya,Not RSPO Certified
J&J,PO1000004465,Maro Sebo,Indonesia,Jambi,Muaro Jambi,-1.444417,103.627917,Petaling Mandraguna,Petaling,Not RSPO Certified
